address,city,state,zipCode,endecaId,isPaid,geoCode,isCurrentSpotlight,lastUpdate,listingId,listingType,listingPriceHigh,listingPriceLow,listingBedHigh,listingBedLow,listingBathHigh,listingBathLow,halfBaths,unitSqFt,listingSeoPath,desktopPhone,mPhone,nearbyListings,neighborhoods,noVacancy,photos,propertyName,propertyLabel,propertyType,recommendedListings,revenue,tplSource,mgtCoName,hasagHdTour,hasHdTour,hasHdVideo,hasUGVideos,aggregates.prices.low,aggregates.prices.high,aggregates.beds.low,aggregates.beds.high,aggregates.baths.low,aggregates.baths.high,aggregates.totalAvailable
601 Pennsylvania Ave NW,Washington,DC,20004,r3077291,True,"38.893589,-77.020398",False,2020-05-24T18:47:37.907Z,r3077291,Apartments,3895,3895,2,2,2,2,0,[1330],Apartments/District-of-Columbia/Washington/r3077291,8443491729,8443491729,"['r3090524', 'r3090683', 'r2859558', 'r3084233']",,,"[{'path': '/imgr/d9abe695cb028b4243a204eafdc691b5/', 'caption': 'dc6692521a.jpg'}]",,601 Pennsylvania Ave NW,,,no_value_available,RentClicks.com,MattKasap,False,False,False,False,3895,3895,2,2,2,2,
575 12 Th Road South ACADIA AT METROPOLITAN PARK 16,Arlington,VA,22202,r3047720,True,"38.862444,-77.056145",False,2020-06-26T08:04:43.760Z,r3047720,Apartments,2709,2709,1,1,1,1,0,[748],Apartments/Virginia/Arlington/r3047720,8448843120,8448843120,"['r3089562', 'r3075465', 'r3058939', 'r2967259']",,,"[{'path': '/imgr/3089daa291abfdc0cdfb5ddd0084bc32/', 'caption': None}]",,575 12th Road South ACADIA AT METROPOLITAN PARK 16,,,no_value_available,RentClicks.com,Landing,False,False,False,False,2709,2709,1,1,1,1,
1201 Half St SE WEST HALF 226,Washington,DC,20003,r3055160,True,"38.875226,-77.008096",False,2020-06-20T11:00:24.307Z,r3055160,Apartments,2438,2438,1,1,1,1,0,[612],Apartments/District-of-Columbia/Washington/r3055160,8558960592,8558960592,"['r3091002', 'r3091006', 'r3075465', 'r3084541']",,,"[{'path': '/imgr/c7000d12aa49a8a69d86ed0749bfb7f1/', 'caption': None}]",,1201 Half St SE WEST HALF 226,,,no_value_available,RentClicks.com,Landing,False,False,False,False,2438,2438,1,1,1,1,
8601 Washington Ave,Alexandria,VA,22309,r3093301,True,"38.724501,-77.104940",False,2020-06-26T02:20:23.640Z,r3093301,Houses And Homes,3200,3200,4,4,3,3,0,[1951],Virginia/Alexandria/r3093301,8444356057,8444356057,,,,"[{'path': '/imgr/011a31bfed640a841396e6eacf5df413/', 'caption': 'C883576D-BE8E-4A6D-9BDB-3F895C929F50.jpeg'}]",,8601 Washington Ave,,,no_value_available,RentClicks.com,None,False,False,False,False,3200,3200,4,4,3,3,
1806 1st Street NW,Washington,DC,20001,r3093059,True,"38.914406,-77.012443",False,2020-06-24T03:35:05.750Z,r3093059,Apartments,1725,1725,1,1,1,1,0,[600],Apartments/District-of-Columbia/Washington/r3093059,8448797508,8448797508,,,,"[{'path': '/imgr/a3ffb273a390d5196664531af110f53c/', 'caption': 'BF7D78D6-12C3-4F52-9415-90EF056D262A.jpeg'}]",,1806 1st Street NW,,,no_value_available,RentClicks.com,SharonMarsh,False,False,False,False,1725,1725,1,1,1,1,
300 Juneberry Way,Glen Burnie,MD,20761,r3092827,True,"39.195799,-76.620196",False,2020-06-22T23:46:21.960Z,r3092827,,1450,1450,2,2,2,2,0,[1055],Maryland/Glen-Burnie/r3092827,8555988224,8555988224,,,,"[{'path': '/imgr/f47b0507a87458594d6d10e29aa04773/', 'caption': 'IMG_2026 condo family room.jpg'}]",,300 Juneberry Way,,,no_value_available,RentClicks.com,Nadine Vatel,False,False,False,False,1450,1450,2,2,2,2,
6652 Midhill Place,Falls Church,VA,22043,r3092168,True,"38.909423,-77.170948",False,2020-06-19T05:10:16.153Z,r3092168,Townhouses And Condos,3300,3300,4,4,3,3,1,[2400],Virginia/Falls-Church/r3092168,8447834212,8447834212,"['r3089332', 'r3090985', 'r3090986', 'r3090631']",,,"[{'path': '/imgr/aab8f9aeac7805ba68f70cc83cbf458f/', 'caption': '1.jpg'}]",,6652 Midhill Place,,,no_value_available,RentClicks.com,IuliiaMironova,False,False,False,False,3300,3300,4,4,3,3,
10547 Pineview Rd,Manassas Va,VA,20111,r3092102,True,"38.727386,-77.430865",False,2020-06-19T16:05:10.847Z,r3092102,Houses And Homes,2250,2250,3,3,2,2,0,[2000],Virginia/Manassas/r3092102,7033037479,7033037479,"['r3087519', 'r2993284', 'r3090310', 'r3088106']",,,"[{'path': '/imgr/639f28de2ac068a059963784b1e3e3e9/', 'caption': 'DSC05182.JPG'}]",,10547 Pineview Rd.,,,no_value_available,RentClicks.com,FrankMoore,False,False,False,False,2250,2250,3,3,2,2,
Fernwod Rd,Bethesda,MD,20817,r3091837,True,"39.010559,-77.133280",False,2020-06-19T14:41:26.140Z,r3091837,Houses And Homes,4000,4000,4,4,4,4,1,[3000],Maryland/Bethesda/r3091837,8442460501,8442460501,"['r3091185', 'r3084705', 'r2969503', 'r3083946']",,,"[{'path': '/imgr/b18aa9a7205722112213f7150a1c91c5/', 'caption': 'IMG_0738.jpeg'}]",,Fernwod Rd.,,,no_value_available,RentClicks.com,CorinaMillo,False,False,False,False,4000,4000,4,4,4,4,
2059 Huntington Avenue 610,Alexandria,VA,22303,r3089470,True,"38.790011,-77.066854",False,2020-06-18T21:25:08.160Z,r3089470,Apartments,1350,1350,0,0,1,1,0,[550],Apartments/Virginia/Alexandria/r3089470,8442756815,8442756815,"['r3081330', 'r3091024', 'r3091025', 'r3091026']",,,"[{'path': '/imgr/02671da447ce55d6dcdb47cb5469a8a6/', 'caption': 'IMG_0022.JPEG'}]",,2059 Huntington Avenue #610,,,no_value_available,RentClicks.com,JamieFurlan,False,False,False,False,1350,1350,0,0,1,1,
