,Text,Hashtag,CleanTweet
17,"rt @repsylviagarcia one too many names.

#georgefloyd’s murder needs to be a call to action to once and for all put an end to racism, police brutality &amp; white supremacy in america.

#blacklivesmatter #saytheirnames #sayhername http://pbs.twimg.com/tweet_video_thumb/ezcdl0dwoaarako.jpg https://video.twimg.com/tweet_video/ezcdl0dwoaarako.mp4","['#georgefloyd', '#blacklivesmatter', '#saytheirnames', '#sayhername']",rt  repsylviagarcia one too many names    georgefloyd s murder needs to be a call to action to once and for all put an end to racism  police brutality  amp  white supremacy in america    blacklivesmatter  saytheirnames  sayhername
55,"we now have a real autopsy that acknowledges the truth, #georgefloyd’s cause of death was asphyxiation. he was killed on the streets of minneapolis in front of the eyes of the world. we want law enforcement accountability...  2/3",['#georgefloyd'],we now have a real autopsy that acknowledges the truth   georgefloyd s cause of death was asphyxiation  he was killed on the streets of minneapolis in front of the eyes of the world  we want law enforcement accountability
56,"— who are every day, dealing with the pain of their constituents over the death of #georgefloyd — by calling them weak. they are not weak, they are confronting the humanity of their people. violence to suppress protests that are guaranteed by the constitution is unacceptable. 2/3",['#georgefloyd'],who are every day  dealing with the pain of their constituents over the death of  georgefloyd   by calling them weak  they are not weak  they are confronting the humanity of their people  violence to suppress protests that are guaranteed by the constitution is unacceptable
57,".@potus just cited the insurrection act of 1807. he is going to cause blood and death in the streets. first, we lose #georgefloyd through criminal acts, and now @potus is going to proceed against people expressing their views — protected under the constitution — 1/",['#georgefloyd'],potus just cited the insurrection act of       he is going to cause blood and death in the streets  first  we lose  georgefloyd through criminal acts  and now  potus is going to proceed against people expressing their views   protected under the constitution
95,"the daughter of a martyred hero of the civil rights movement reflects on #georgefloyd murder. https://twitter.com/maryliuzzolille/status/1267319282473582592 qt @maryliuzzolille thinking about #georgefloyd and my deepest condolences to his family.

""i was wondering how i would feel if my mother's murder had been broadcasted on tv . . .""

full statement:
https://www.facebook.com/1151302747/posts/10223092095148049/?d=n http://pbs.twimg.com/ext_tw_video_thumb/1267318973793800193/pu/img/fc9j5sn8bxfsx9_v.jpg https://video.twimg.com/ext_tw_video/1267318973793800193/pu/vid/480x270/85hbvo8o_qenlxhv.mp4?tag=10","['#georgefloyd', '#georgefloyd']",the daughter of a martyred hero of the civil rights movement reflects on  georgefloyd murder
155,"today, #weremember the 100,000 american lives lost to covid-19. @senbrianschatz",['#weremember'],today   weremember the         american lives lost to covid      senbrianschatz
162,"""it is such a terrible virus &amp; i pray it will be over soon. i know i'll meet inez again someday."" our neighbor david sent me this beautiful reflection after losing his wife. to all those who've lost loved ones, please know i mourn with you. #lament100k #dayofmourning http://pbs.twimg.com/amplify_video_thumb/1266721923855200256/img/awx724ejjk9nz4h_.jpg https://video.twimg.com/amplify_video/1266721923855200256/vid/320x320/csctgxlarqllfbdf.mp4?tag=13","['#lament100k', '#dayofmourning']",it is such a terrible virus  amp  i pray it will be over soon  i know i ll meet inez again someday   our neighbor david sent me this beautiful reflection after losing his wife  to all those who ve lost loved ones  please know i mourn with you   lament   k  dayofmourning
165,"frankly, it’s a never-ending fight. 

and today, we face new challenges w/ the #covid19 pandemic. seniors, veterans, residents across indian country, and communities of color are disproportionately affected by this pandemic.",['#covid19'],frankly  it s a never ending fight    and today  we face new challenges w  the  covid   pandemic  seniors  veterans  residents across indian country  and communities of color are disproportionately affected by this pandemic
245,"rt @housedemocrats the united states has lost over 100,000 americans to #covid19. 

we must remember, mourn and honor their lives. #dayofmourning","['#covid19', '#dayofmourning']",rt  housedemocrats the united states has lost over         americans to  covid      we must remember  mourn and honor their lives   dayofmourning
246,"rt @offkiltershow new pod! 🔊

what are ""automatic triggers"" and why are they essential to #covid19 economic relief?

@rebeccavallas sits down w/@repdonbeyer, vice chair of @jecdems &amp; @equitablegrowth's @hboushey for the latest in @offkiltershow's covid series.

*syllabus: 
https://medium.com/@offkiltershow/beyer-boushey-8be89af1e80",['#covid19'],rt  offkiltershow new pod     what are  automatic triggers  and why are they essential to  covid   economic relief    rebeccavallas sits down w  repdonbeyer  vice chair of  jecdems  amp   equitablegrowth s  hboushey for the latest in  offkiltershow s covid series    syllabus
